,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,22,22,22,22,22,25,32,32
Reserves,954,983,"1,048","1,116","1,005","1,116","1,298","1,294"
Borrowings +,432,433,522,575,760,779,710,887
Other Liabilities +,584,540,656,979,"1,099",721,624,830
Total Liabilities,"1,991","1,978","2,249","2,693","2,887","2,642","2,664","3,044"
Fixed Assets +,329,370,372,393,437,406,389,387
CWIP,4,2,5,14,7,4,2,4
Investments,432,390,253,143,101,131,77,102
Other Assets +,"1,226","1,217","1,618","2,144","2,342","2,100","2,195","2,551"
Total Assets,"1,991","1,978","2,249","2,693","2,887","2,642","2,664","3,044"
