,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19.61,19.61,19.61,34.63,34.63,34.63,34.63,34.63,34.63,34.63,34.63,34.63,34.63
Reserves,68.93,72.01,70.00,57.78,50.03,-4.56,-8.70,-9.48,12.75,4.24,4.63,5.41,4.17
Borrowings +,39.49,42.99,49.58,55.46,61.57,61.34,62.50,57.75,31.47,29.90,24.40,23.90,23.60
Other Liabilities +,65.33,64.25,76.90,47.97,44.77,31.89,31.24,17.58,16.63,15.69,5.07,2.03,2.45
Total Liabilities,193.36,198.86,216.09,195.84,191.00,123.30,119.67,100.48,95.48,84.46,68.73,65.97,64.85
Fixed Assets +,50.47,53.82,56.47,56.34,43.72,3.62,5.82,5.34,4.90,4.48,3.95,3.67,3.59
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,2.70,2.70,15.05,15.05,15.37,52.88,50.32,50.06,49.48,41.08,41.21,38.85,38.17
Other Assets +,140.19,142.34,144.57,124.45,131.91,66.80,63.53,45.08,41.10,38.90,23.57,23.45,23.09
Total Assets,193.36,198.86,216.09,195.84,191.00,123.30,119.67,100.48,95.48,84.46,68.73,65.97,64.85
