,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,15,15,15,15,15,15,15,15,15,15,15,16
Reserves,311,364,422,476,605,560,631,746,877,"1,009","1,154","1,415","1,557"
Borrowings +,315,341,354,336,320,354,421,440,470,422,297,96,113
Other Liabilities +,152,154,174,174,197,129,162,196,254,237,272,301,315
Total Liabilities,792,874,965,"1,001","1,137","1,058","1,229","1,398","1,616","1,683","1,739","1,827","2,000"
Fixed Assets +,346,416,418,432,521,532,542,626,727,772,805,801,796
CWIP,7,8,5,18,7,12,57,56,4,22,5,7,22
Investments,2,2,8,8,7,76,87,104,117,135,150,193,231
Other Assets +,438,448,534,543,602,438,544,611,768,755,779,826,951
Total Assets,792,874,965,"1,001","1,137","1,058","1,229","1,398","1,616","1,683","1,739","1,827","2,000"
