,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,28,28,47,573,584,584
Reserves,-28,146,"1,130",803,"1,416","1,535"
Borrowings +,614,163,366,447,151,255
Other Liabilities +,869,"1,295",307,375,444,483
Total Liabilities,"1,484","1,633","1,851","2,198","2,596","2,858"
Fixed Assets +,793,291,"1,065","1,217","1,384","1,527"
CWIP,18,13,90,83,147,67
Investments,1,-0,2,-0,7,127
Other Assets +,672,"1,328",694,898,"1,058","1,137"
Total Assets,"1,484","1,633","1,851","2,198","2,596","2,858"
