,Mar 2021,Mar 2022,Sep 2022
Share Capital +,387,387,387
Reserves,246,295,333
Borrowings +,138,139,234
Other Liabilities +,220,251,317
Total Liabilities,991,"1,072","1,271"
Fixed Assets +,418,428,428
CWIP,21,22,42
Investments,2,8,10
Other Assets +,550,615,792
Total Assets,991,"1,072","1,271"
