,Mar 2017,Mar 2018,Mar 2021,Mar 2022,TTM
Sales +,127,151,905,"1,211","1,706"
Expenses +,126,154,854,"1,045","1,363"
Operating Profit,1,-2,51,166,343
OPM %,0%,-1%,6%,14%,20%
Other Income +,1,4,7,2,2
Interest,1,2,5,15,29
Depreciation,0,0,3,12,22
Profit before tax,0,0,51,141,294
Tax %,575%,100%,27%,26%,
Net Profit,-0,0,37,105,224
EPS in Rs,-0.65,0.03,16.83,44.31,94.56
