,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,981","1,746","1,867","1,927","1,955","2,770","3,259","4,425","6,128"
Expenses +,"2,155","1,966","1,821","1,759","1,945","2,491","2,708","3,829","5,302"
Operating Profit,-174,-220,45,168,10,279,551,596,826
OPM %,-9%,-13%,2%,9%,0%,10%,17%,13%,13%
Other Income +,27,41,18,42,457,"1,004",68,29,8
Interest,201,257,305,321,281,289,245,244,246
Depreciation,25,23,21,17,23,18,23,27,30
Profit before tax,-373,-459,-263,-129,163,976,350,353,559
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,
Net Profit,-373,-459,-263,-129,163,976,350,353,559
EPS in Rs,-5.76,-7.09,-4.06,-1.99,2.51,15.08,5.42,5.46,8.63
