,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,7,7,7,7,7,7,7,7,7,7,7
Reserves,60,68,71,68,62,117,143,140,116,147,210,224
Borrowings +,63,53,55,58,58,40,65,102,63,46,20,57
Other Liabilities +,21,21,23,24,11,11,15,18,22,28,69,32
Total Liabilities,151,149,155,157,138,176,230,266,207,228,305,320
Fixed Assets +,38,33,28,24,23,21,19,17,15,17,17,17
CWIP,2,1,2,3,1,1,1,1,1,0,0,0
Investments,2,32,32,42,42,101,143,170,102,147,119,135
Other Assets +,109,82,92,88,71,52,67,78,89,64,168,167
Total Assets,151,149,155,157,138,176,230,266,207,228,305,320
