,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,46,14,44,43,41,39,28,16
Reserves,68,52,54,60,62,74,102,115
Borrowings +,71,94,71,71,52,56,34,42
Other Liabilities +,62,51,93,93,83,79,52,37
Total Liabilities,214,211,231,238,211,224,205,211
Fixed Assets +,69,74,69,66,63,61,60,62
CWIP,2,0,0,0,0,0,0,0
Investments,33,32,32,32,31,31,31,31
Other Assets +,110,105,131,140,117,133,115,118
Total Assets,214,211,231,238,211,224,205,211
