,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13.62,13.62,13.62,13.62,13.62,13.62,13.62
Reserves,35.92,55.38,58.96,82.86,97.57,102.94,107.36
Borrowings +,38.95,35.14,341.41,251.74,161.84,9.95,17.80
Other Liabilities +,1.79,20.14,329.27,52.02,32.38,7.65,4.21
Total Liabilities,90.28,124.28,743.26,400.24,305.41,134.16,142.99
Fixed Assets +,0.01,0.01,0.15,0.14,2.43,8.30,8.22
CWIP,0.00,0.00,0.00,0.00,3.13,0.00,0.00
Investments,22.78,28.02,49.54,52.08,49.17,53.42,59.60
Other Assets +,67.49,96.25,693.57,348.02,250.68,72.44,75.17
Total Assets,90.28,124.28,743.26,400.24,305.41,134.16,142.99
