,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Sep 2012,Mar 2013
Share Capital +,5,5,5,5,5,5,5,5
Reserves,50,57,51,53,70,61,64,69
Borrowings +,41,121,205,247,288,309,392,403
Other Liabilities +,210,229,296,257,216,310,139,177
Total Liabilities,306,412,557,562,579,685,600,655
Fixed Assets +,126,142,146,139,133,126,119,117
CWIP,5,14,123,185,219,259,320,342
Investments,0,0,0,0,0,0,0,0
Other Assets +,175,256,288,238,226,301,161,195
Total Assets,306,412,557,562,579,685,600,655
