,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,0,0,0,4,6,6,6,6,11,11
Reserves,6,7,8,10,12,20,24,28,27,22,24
Borrowings +,5,6,8,8,8,9,11,11,11,10,13
Other Liabilities +,12,23,10,12,19,19,15,14,18,24,17
Total Liabilities,25,38,27,31,43,54,56,58,62,66,66
Fixed Assets +,5,5,4,4,9,9,14,12,10,10,10
CWIP,0,0,0,0,0,0,0,0,0,1,1
Investments,0,0,0,0,0,0,0,5,4,3,3
Other Assets +,19,33,22,27,34,45,42,41,47,53,52
Total Assets,25,38,27,31,43,54,56,58,62,66,66
