,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,260,284,254,212,191
Expenses +,240,247,228,218,210
Operating Profit,20,37,26,-6,-18
OPM %,8%,13%,10%,-3%,-10%
Other Income +,1,1,3,0,0
Interest,1,2,1,2,2
Depreciation,3,4,3,3,3
Profit before tax,17,32,25,-11,-23
Tax %,33%,28%,24%,25%,
Net Profit,11,23,19,-8,-18
EPS in Rs,4.07,8.29,6.81,-2.84,-6.51
