,Mar 2006,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,41,584,626,804,946
Expenses +,35,518,563,737,868
Operating Profit,6,67,63,66,79
OPM %,14%,11%,10%,8%,8%
Other Income +,1,1,2,2,2
Interest,2,21,21,20,22
Depreciation,2,15,16,16,16
Profit before tax,3,32,28,33,43
Tax %,19%,14%,24%,26%,
Net Profit,2,27,21,24,31
EPS in Rs,,16.96,12.84,14.13,19.03
