,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011
Share Capital +,9,10,18,16,18,65
Reserves,107,139,281,290,345,744
Borrowings +,114,180,200,301,427,455
Other Liabilities +,22,43,39,63,82,101
Total Liabilities,252,371,539,670,873,"1,364"
Fixed Assets +,96,143,241,317,408,513
CWIP,42,81,123,146,217,259
Investments,1,1,1,10,18,301
Other Assets +,114,146,174,198,231,291
Total Assets,252,371,539,670,873,"1,364"
