,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Sales +,87,200,446,678,847,"1,091","1,638","1,907","1,236",769
Expenses +,74,160,348,465,565,699,"1,012","1,196","1,123",916
Operating Profit,13,39,98,212,282,392,626,711,113,-147
OPM %,14%,20%,22%,31%,33%,36%,38%,37%,9%,-19%
Other Income +,0,1,7,3,9,4,50,33,-70,-387
Interest,1,2,3,22,42,66,148,168,232,231
Depreciation,0,1,5,28,41,59,99,194,327,563
Profit before tax,11,37,98,165,208,272,428,383,-516,"-1,328"
Tax %,6%,10%,13%,13%,17%,17%,25%,29%,4%,0%
Net Profit,11,34,85,143,172,225,323,271,-494,"-1,328"
EPS in Rs,,4.61,10.22,16.60,17.47,20.62,28.73,23.66,-43.18,-115.97
