,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,80,80,80,80,80,240,223,244,244,244,244,244,731
Reserves,"5,070","5,822","6,407","7,140","8,037","9,006","7,512","7,772","8,968","9,828","10,816","12,042","12,200"
Borrowings +,1,1,1,0,25,28,64,80,34,8,3,53,0
Other Liabilities +,"8,179","9,138","8,367","7,760","7,587","9,330","9,800","10,868","11,575","14,271","18,430","21,574","20,547"
Total Liabilities,"13,329","15,041","14,855","14,980","15,729","18,605","17,600","18,965","20,821","24,351","29,492","33,912","33,478"
Fixed Assets +,505,530,600,695,"1,073","1,232","1,501","1,839","2,298","2,713","2,652","2,675","3,326"
CWIP,56,147,328,458,140,430,743,940,849,828,883,"1,006",368
Investments,0,0,0,0,0,462,491,937,964,"1,110","1,306","1,572",175
Other Assets +,"12,768","14,364","13,926","13,828","14,516","16,481","14,865","15,248","16,710","19,700","24,651","28,659","29,609"
Total Assets,"13,329","15,041","14,855","14,980","15,729","18,605","17,600","18,965","20,821","24,351","29,492","33,912","33,478"
