,Mar 2021,Mar 2022,Sep 2022
Share Capital +,37,45,45
Reserves,95,222,224
Borrowings +,158,57,90
Other Liabilities +,84,81,77
Total Liabilities,369,405,436
Fixed Assets +,159,150,190
CWIP,0,0,0
Investments,1,0,0
Other Assets +,209,255,247
Total Assets,369,405,436
