,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,4.64,4.64,4.64,4.64,4.74,7.59,7.59,16.86,16.86,16.86,16.86,16.86
Reserves,22.26,29.20,38.41,42.96,42.86,60.35,61.39,62.26,61.92,63.06,62.70,66.26
Borrowings +,20.22,27.60,24.34,26.59,10.66,5.87,26.15,24.28,20.26,23.91,22.71,35.84
Other Liabilities +,11.81,30.42,21.79,13.97,11.86,22.28,37.94,45.11,27.48,33.70,45.08,46.13
Total Liabilities,58.93,91.86,89.18,88.16,70.12,96.09,133.07,148.51,126.52,137.53,147.35,165.09
Fixed Assets +,14.07,13.83,16.09,12.21,10.44,12.04,13.56,11.21,8.97,6.12,5.74,5.28
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00
Investments,0.25,0.25,0.25,0.25,0.40,5.40,0.40,3.33,3.32,3.36,0.33,3.30
Other Assets +,44.61,77.78,72.84,75.70,59.28,78.65,119.11,133.97,114.23,127.82,141.28,156.51
Total Assets,58.93,91.86,89.18,88.16,70.12,96.09,133.07,148.51,126.52,137.53,147.35,165.09
