,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,889,751,"1,021","1,181"
Expenses +,777,666,905,"1,055"
Operating Profit,112,85,116,126
OPM %,13%,11%,11%,11%
Other Income +,7,9,7,30
Interest,8,9,12,11
Depreciation,28,27,28,28
Profit before tax,83,58,83,118
Tax %,24%,25%,25%,
Net Profit,64,44,62,94
EPS in Rs,29.17,19.94,28.39,42.84
