,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,20.35,15.49,30.54,12.97,22.92,39.65,30.62,20.39,10.58,9.47,7.16,8.75,11.18
Expenses +,4.99,12.90,25.69,10.66,21.40,38.13,29.39,15.69,10.50,12.95,7.66,12.62,15.29
Operating Profit,15.36,2.59,4.85,2.31,1.52,1.52,1.23,4.70,0.08,-3.48,-0.50,-3.87,-4.11
OPM %,75.48%,16.72%,15.88%,17.81%,6.63%,3.83%,4.02%,23.05%,0.76%,-36.75%,-6.98%,-44.23%,-36.76%
Other Income +,0.04,1.39,0.09,0.23,0.42,0.35,0.16,0.15,1.36,1.10,1.64,0.26,4.21
Interest,0.18,0.02,0.67,1.11,0.92,0.94,0.70,0.70,0.88,0.06,0.06,0.04,0.02
Depreciation,0.90,0.89,0.49,0.48,0.48,0.33,0.27,0.27,0.34,0.27,0.21,0.21,0.20
Profit before tax,14.32,3.07,3.78,0.95,0.54,0.60,0.42,3.88,0.22,-2.71,0.87,-3.86,-0.12
Tax %,1.75%,35.18%,34.92%,32.63%,29.63%,33.33%,28.57%,28.87%,-0.00%,-0.74%,10.34%,-2.33%,
Net Profit,14.07,1.99,2.46,0.63,0.38,0.41,0.30,2.77,0.22,-2.72,0.79,-3.95,-0.71
EPS in Rs,0.15,0.01,0.02,0.00,0.00,0.00,0.00,0.02,0.00,-0.02,0.01,-0.03,0.01
