,Mar 2014,Mar 2015
Share Capital +,39,39
Reserves,-29,18
Borrowings +,128,293
Other Liabilities +,28,43
Total Liabilities,167,393
Fixed Assets +,32,19
CWIP,0,0
Investments,1,1
Other Assets +,134,374
Total Assets,167,393
