,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Share Capital +,4,14,17,17,20,22,22,23,23,23
Reserves,17,91,350,576,852,"1,161","1,768","2,102","1,915",-138
Borrowings +,6,2,168,327,358,763,"1,360","1,744","2,082","2,162"
Other Liabilities +,25,43,116,96,116,312,409,412,616,799
Total Liabilities,52,149,650,"1,016","1,346","2,258","3,559","4,281","4,636","2,846"
Fixed Assets +,13,44,261,259,272,450,"1,281","1,278","1,973","1,706"
CWIP,1,1,51,177,365,313,526,674,320,64
Investments,0,0,0,0,30,46,34,0,0,155
Other Assets +,38,104,338,580,680,"1,449","1,718","2,330","2,342",921
Total Assets,52,149,650,"1,016","1,346","2,258","3,559","4,281","4,636","2,846"
