,Mar 2012,Mar 2013,Mar 2014
Share Capital +,27,27,27
Reserves,117,125,35
Borrowings +,145,160,203
Other Liabilities +,46,61,38
Total Liabilities,335,373,304
Fixed Assets +,53,64,82
CWIP,57,55,50
Investments,30,4,4
Other Assets +,195,250,167
Total Assets,335,373,304
