,Mar 2017,Mar 2018
Sales +,78.44,84.91
Expenses +,60.35,84.74
Operating Profit,18.09,0.17
OPM %,23.06%,0.20%
Other Income +,0.15,0.45
Interest,9.28,0.21
Depreciation,0.33,0.30
Profit before tax,8.63,0.11
Tax %,45.31%,81.82%
Net Profit,4.72,0.02
EPS in Rs,1.80,0.01
