,Mar 2021,Mar 2022
Share Capital +,0,11
Reserves,244,479
Borrowings +,34,22
Other Liabilities +,18,33
Total Liabilities,296,544
Fixed Assets +,120,189
CWIP,22,32
Investments,0,0
Other Assets +,153,323
Total Assets,296,544
