,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,74,74,74,74,87,127,145,176,176,176,176,176,176
Reserves,"1,078","1,035",930,821,603,364,214,196,505,232,157,-22,-24
Borrowings +,475,"1,131","1,229","1,409","1,519","1,590","1,645","1,260",434,477,527,394,380
Other Liabilities +,483,594,626,507,576,"1,235","1,200","1,312","1,060","1,108","1,012",879,784
Total Liabilities,"2,111","2,834","2,859","2,811","2,784","3,316","3,204","2,944","2,175","1,993","1,872","1,427","1,316"
Fixed Assets +,211,292,485,438,538,484,342,321,168,122,114,107,102
CWIP,231,612,662,734,601,603,385,310,143,91,91,94,96
Investments,50,0,2,2,2,2,0,0,226,213,220,156,150
Other Assets +,"1,619","1,930","1,710","1,637","1,644","2,227","2,477","2,313","1,638","1,567","1,448","1,071",968
Total Assets,"2,111","2,834","2,859","2,811","2,784","3,316","3,204","2,944","2,175","1,993","1,872","1,427","1,316"
