,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Sep 2022
Share Capital +,3,3,2,2,2,9,13
Reserves,656,695,615,763,814,839,828
Borrowings +,1,34,100,67,50,114,213
Other Liabilities +,33,85,114,156,199,227,137
Total Liabilities,693,817,832,989,"1,065","1,189","1,192"
Fixed Assets +,173,264,334,308,383,377,262
CWIP,6,8,8,43,16,137,600
Investments,381,341,226,264,350,230,24
Other Assets +,134,203,264,374,317,444,306
Total Assets,693,817,832,989,"1,065","1,189","1,192"
