,Mar 2010,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,6,6,6,6,6,6,6,6,6,6,6
Reserves,23,36,39,43,48,56,64,73,87,104,135,166,185
Borrowings +,30,35,50,66,60,65,53,51,49,36,57,53,72
Other Liabilities +,14,15,21,41,42,36,41,43,57,51,54,54,48
Total Liabilities,72,92,117,156,156,163,165,173,199,197,253,279,312
Fixed Assets +,24,27,26,32,33,42,43,44,46,43,52,67,93
CWIP,0,0,0,9,8,3,2,0,0,3,15,15,0
Investments,1,0,1,0,1,0,6,0,5,21,19,0,24
Other Assets +,48,65,91,115,114,119,114,129,147,130,167,197,195
Total Assets,72,92,117,156,156,163,165,173,199,197,253,279,312
