,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Share Capital +,7.19,7.19,7.19,21.56,21.56,21.56,21.56,24.56,27.16,27.16,47.39
Reserves,91.51,96.58,99.75,84.11,124.64,73.46,60.09,56.00,42.45,48.24,52.37
Borrowings +,69.72,76.08,109.75,127.23,120.12,105.80,93.48,66.80,58.71,43.42,40.33
Other Liabilities +,21.59,33.87,33.14,41.26,22.25,14.29,13.04,30.99,23.59,35.13,18.02
Total Liabilities,190.01,213.72,249.83,274.16,288.57,215.11,188.17,178.35,151.91,153.95,158.11
Fixed Assets +,84.83,90.30,101.16,95.09,137.88,101.45,91.93,58.55,56.71,60.05,63.95
CWIP,9.96,7.91,0.10,2.96,0.00,0.00,0.06,0.00,0.00,0.00,0.00
Investments,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.23
Other Assets +,95.21,115.50,148.56,176.10,150.68,113.65,96.18,119.80,95.20,93.90,93.93
Total Assets,190.01,213.72,249.83,274.16,288.57,215.11,188.17,178.35,151.91,153.95,158.11
