,Mar 2021,Mar 2022,TTM
Sales +,3,75,125
Expenses +,10,114,179
Operating Profit,-8,-39,-55
OPM %,-300%,-52%,-44%
Other Income +,0,1,3
Interest,0,9,10
Depreciation,1,14,24
Profit before tax,-8,-61,-87
Tax %,0%,4%,
Net Profit,-8,-58,-81
EPS in Rs,-11.83,-14.20,-17.22
