,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Share Capital +,31,31,31,31,31,31,31,31
Reserves,88,121,144,151,161,164,205,252
Borrowings +,55,13,34,25,34,59,0,0
Other Liabilities +,84,77,87,94,108,112,153,182
Total Liabilities,259,242,296,302,335,365,388,466
Fixed Assets +,99,97,90,91,100,99,97,98
CWIP,2,1,0,12,10,21,13,3
Investments,0,0,0,0,0,0,0,0
Other Assets +,158,144,206,199,224,245,279,364
Total Assets,259,242,296,302,335,365,388,466
