,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,867,"1,035",758,673,"1,033","1,103"
Expenses +,832,988,707,630,981,"1,053"
Operating Profit,35,46,51,44,52,49
OPM %,4%,4%,7%,6%,5%,4%
Other Income +,3,3,2,2,3,3
Interest,13,18,22,20,19,21
Depreciation,7,8,12,13,12,12
Profit before tax,18,23,20,13,24,19
Tax %,35%,35%,27%,28%,28%,
Net Profit,12,15,15,9,17,13
EPS in Rs,3.94,5.09,4.97,3.14,5.79,4.48
