,Mar 2017,Mar 2018,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8,8,22,24,24
Reserves,46,48,108,306,472
Borrowings +,0,19,33,270,473
Other Liabilities +,63,35,209,384,612
Total Liabilities,117,110,372,984,"1,580"
Fixed Assets +,0,0,19,180,178
CWIP,0,0,4,5,6
Investments,32,3,0,0,0
Other Assets +,85,107,349,800,"1,396"
Total Assets,117,110,372,984,"1,580"
