,Mar 2006,Mar 2007,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,12,12,12,12,14,14,14,14
Reserves,35,42,711,842,"1,008","1,155","1,292","1,491","1,716","1,782"
Borrowings +,57,74,0,113,129,90,86,84,92,89
Other Liabilities +,45,65,274,322,420,395,409,450,593,618
Total Liabilities,148,192,997,"1,289","1,569","1,652","1,801","2,038","2,414","2,503"
Fixed Assets +,24,30,330,510,490,502,572,573,597,582
CWIP,1,6,3,2,4,21,6,18,7,23
Investments,2,2,68,75,167,192,331,420,356,214
Other Assets +,121,154,596,703,908,937,892,"1,027","1,456","1,684"
Total Assets,148,192,997,"1,289","1,569","1,652","1,801","2,038","2,414","2,503"
