,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,43,40,40,40,40,40,40,40,39,39,39,39,39
Reserves,868,809,905,960,974,956,913,"1,868","3,755","3,473","3,456","3,875","4,038"
Borrowings +,910,"1,269","1,396","1,027",917,782,684,297,667,594,298,665,757
Other Liabilities +,231,327,358,478,315,176,216,534,684,332,451,730,816
Total Liabilities,"2,052","2,446","2,700","2,506","2,246","1,953","1,853","2,739","5,144","4,438","4,244","5,308","5,649"
Fixed Assets +,659,745,718,941,907,932,889,833,788,745,694,763,817
CWIP,79,128,215,119,108,27,1,2,19,101,373,696,853
Investments,196,156,152,174,223,227,231,248,942,"1,245","1,358","1,171",807
Other Assets +,"1,118","1,416","1,615","1,273","1,009",767,732,"1,656","3,396","2,348","1,819","2,678","3,172"
Total Assets,"2,052","2,446","2,700","2,506","2,246","1,953","1,853","2,739","5,144","4,438","4,244","5,308","5,649"
