,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,9,9
Reserves,291,331,384
Borrowings +,321,463,455
Other Liabilities +,217,268,306
Total Liabilities,838,"1,072","1,154"
Fixed Assets +,448,541,586
CWIP,11,48,6
Investments,0,0,0
Other Assets +,379,482,562
Total Assets,838,"1,072","1,154"
