,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,14,14,14
Reserves,242,260,315,512,539
Borrowings +,303,328,242,374,996
Other Liabilities +,431,407,466,"1,245",694
Total Liabilities,976,"1,010","1,039","2,146","2,244"
Fixed Assets +,108,190,157,743,603
CWIP,4,5,11,58,274
Investments,0,0,26,114,95
Other Assets +,863,815,845,"1,230","1,272"
Total Assets,976,"1,010","1,039","2,146","2,244"
