,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,9,8,8,8,8,12,12,12,12,12,12
Reserves,216,223,231,241,264,305,359,402,421,549,756,856
Borrowings +,10,22,17,42,57,33,45,160,51,66,30,1
Other Liabilities +,257,168,205,207,162,323,559,346,273,366,455,414
Total Liabilities,492,422,461,498,492,669,976,919,757,993,"1,253","1,283"
Fixed Assets +,58,73,77,119,123,125,134,156,173,185,230,243
CWIP,3,6,40,0,0,4,14,11,17,22,5,11
Investments,0,0,0,0,2,1,0,0,0,0,5,5
Other Assets +,430,343,345,379,366,538,828,752,567,785,"1,013","1,023"
Total Assets,492,422,461,498,492,669,976,919,757,993,"1,253","1,283"
