,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,7,7,7,8,8,8,8,8,8,8,8,8
Reserves,101,117,136,162,221,253,250,265,283,310,336,384,405
Borrowings +,46,65,114,233,259,302,254,211,241,266,149,135,133
Other Liabilities +,51,51,54,61,69,63,86,77,82,74,91,100,94
Total Liabilities,205,240,311,463,558,627,598,560,615,659,585,627,641
Fixed Assets +,78,82,102,196,189,211,263,241,255,263,251,232,260
CWIP,0,0,27,1,0,0,0,3,10,1,0,16,6
Investments,0,1,3,55,58,85,68,70,75,85,17,51,78
Other Assets +,127,157,179,212,311,331,266,245,274,309,317,329,296
Total Assets,205,240,311,463,558,627,598,560,615,659,585,627,641
