,Mar 2014,Mar 2015,Mar 2021,Mar 2022,TTM
Sales +,247,288,286,582,702
Expenses +,228,262,260,531,654
Operating Profit,19,26,26,52,48
OPM %,8%,9%,9%,9%,7%
Other Income +,7,4,1,0,0
Interest,6,6,4,6,7
Depreciation,7,10,13,16,21
Profit before tax,13,14,10,29,19
Tax %,22%,34%,24%,12%,
Net Profit,10,9,8,26,15
EPS in Rs,0.40,0.37,0.30,1.00,0.59
