,Mar 2007,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,8,8,8,8,8,8,8,8
Reserves,182,285,246,276,313,340,402,462,445
Borrowings +,73,204,149,146,144,157,255,263,254
Other Liabilities +,64,158,89,72,93,103,147,126,151
Total Liabilities,329,656,493,503,559,608,812,860,858
Fixed Assets +,69,370,290,279,281,280,457,438,425
CWIP,15,13,8,8,18,42,7,11,17
Investments,0,21,29,28,27,26,27,22,16
Other Assets +,245,252,166,187,232,259,321,389,400
Total Assets,329,656,493,503,559,608,812,860,858
