,Mar 2015,Mar 2016
Sales +,203,156
Expenses +,232,179
Operating Profit,-29,-23
OPM %,-14%,-15%
Other Income +,4,2
Interest,43,48
Depreciation,13,9
Profit before tax,-81,-78
Tax %,0%,0%
Net Profit,-81,-78
EPS in Rs,-9.89,-9.56
