,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,38,38,38,38,38,38,38,38,38,38,39,39,39
Reserves,259,357,465,638,847,"1,560","1,865","2,182","2,681","3,182","5,028","5,198","5,081"
Borrowings +,328,353,187,109,264,114,89,708,"1,128","1,747",584,717,771
Other Liabilities +,246,304,358,432,493,718,698,"1,013",931,"1,022","1,058","1,167","1,208"
Total Liabilities,844,"1,052","1,048","1,217","1,641","2,429","2,689","3,941","4,778","5,989","6,709","7,122","7,099"
Fixed Assets +,272,268,344,397,547,708,799,993,"1,158","1,552","1,788","1,798","1,745"
CWIP,26,58,32,21,83,93,396,"1,010","1,551","1,846","2,183","2,304","2,357"
Investments,3,3,3,3,2,87,50,42,49,18,236,118,118
Other Assets +,542,723,668,796,"1,009","1,541","1,444","1,896","2,019","2,573","2,502","2,902","2,878"
Total Assets,844,"1,052","1,048","1,217","1,641","2,429","2,689","3,941","4,778","5,989","6,709","7,122","7,099"
