,Mar 2014,Mar 2019,Mar 2020,Mar 2021,Sep 2022
Share Capital +,34,34,34,34,10
Reserves,119,-145,-166,-185,-5
Borrowings +,56,22,22,22,29
Other Liabilities +,95,141,165,182,6
Total Liabilities,303,52,55,53,40
Fixed Assets +,76,35,32,30,20
CWIP,7,3,3,3,0
Investments,1,1,0,0,0
Other Assets +,218,14,20,21,20
Total Assets,303,52,55,53,40
