,Mar 2010,Mar 2011,Mar 2012
Sales +,657,742,800
Expenses +,604,694,769
Operating Profit,54,48,31
OPM %,8%,7%,4%
Other Income +,2,0,-1
Interest,19,29,32
Depreciation,9,10,11
Profit before tax,28,9,-12
Tax %,52%,18%,-55%
Net Profit,14,7,-19
EPS in Rs,2.52,2.25,-1.66
