,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014
Share Capital +,9,19,19,19,19,19,19,19,19
Reserves,22,89,78,76,77,78,82,81,85
Borrowings +,46,47,57,64,88,114,80,109,107
Other Liabilities +,16,33,33,38,63,69,79,65,65
Total Liabilities,93,189,187,196,246,280,260,275,276
Fixed Assets +,46,48,64,67,92,92,86,87,93
CWIP,2,0,7,0,0,0,0,1,2
Investments,0,51,0,0,0,0,0,0,0
Other Assets +,45,90,116,129,154,188,175,188,181
Total Assets,93,189,187,196,246,280,260,275,276
