,Mar 2021,Mar 2022
Sales +,254,325
Expenses +,206,276
Operating Profit,48,48
OPM %,19%,15%
Other Income +,4,1
Interest,21,10
Depreciation,14,14
Profit before tax,17,26
Tax %,11%,31%
Net Profit,15,18
EPS in Rs,4.54,4.05
