,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2022,Sep 2022
Share Capital +,18,18,18,18,18,18,18,18,25,25
Reserves,2,11,25,39,49,48,62,67,293,258
Borrowings +,30,38,54,57,212,263,280,254,501,534
Other Liabilities +,7,14,31,32,35,47,64,74,297,298
Total Liabilities,58,82,128,146,314,376,425,413,"1,117","1,116"
Fixed Assets +,38,48,78,77,241,255,246,249,924,903
CWIP,2,5,0,20,2,3,33,0,1,3
Investments,0,0,0,0,0,3,0,7,0,0
Other Assets +,17,29,50,49,71,116,146,156,191,210
Total Assets,58,82,128,146,314,376,425,413,"1,117","1,116"
