,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,175,211,"4,262","12,816","3,305"
Expenses +,170,199,"3,788","11,498","2,688"
Operating Profit,5,12,474,"1,318",616
OPM %,3%,5%,11%,10%,19%
Other Income +,0,0,1,-273,-272
Interest,0,0,10,8,6
Depreciation,0,0,1,6,8
Profit before tax,5,11,465,"1,031",330
Tax %,28%,25%,13%,15%,
Net Profit,4,8,406,873,270
EPS in Rs,0.76,1.69,72.39,155.44,48.15
