,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,2,5,7,14,14,14,14,14
Reserves,-2,8,13,27,31,45,83,82
Borrowings +,0,0,0,0,1,0,0,4
Other Liabilities +,0,5,6,9,8,11,14,17
Total Liabilities,1,19,25,50,54,70,111,117
Fixed Assets +,0,0,0,0,1,0,0,5
CWIP,0,0,0,0,0,0,0,0
Investments,0,17,19,44,48,59,94,98
Other Assets +,0,1,6,6,4,10,17,14
Total Assets,1,19,25,50,54,70,111,117
