,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14.04,14.04,14.04,21.06,21.06,21.06,29.48,29.48,29.48,29.48,29.48,29.48
Reserves,9.70,12.71,21.06,31.31,51.35,70.77,90.52,110.12,98.43,70.24,72.65,77.91
Borrowings +,0.82,21.07,21.12,38.08,32.41,23.96,23.58,26.54,20.61,20.60,13.39,8.24
Other Liabilities +,109.38,123.49,196.13,191.88,245.75,231.04,129.06,199.78,160.59,167.10,163.39,172.28
Total Liabilities,133.94,171.31,252.35,282.33,350.57,346.83,272.64,365.92,309.11,287.42,278.91,287.91
Fixed Assets +,0.13,1.75,3.39,4.86,5.86,5.40,5.03,4.68,4.34,3.69,3.42,3.28
CWIP,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
Investments,1.76,0.54,1.16,0.21,0.32,0.24,0.24,3.70,0.02,0.02,-0.00,-0.00
Other Assets +,132.05,169.02,247.80,277.26,344.39,341.19,267.37,357.54,304.75,283.71,275.49,284.63
Total Assets,133.94,171.31,252.35,282.33,350.57,346.83,272.64,365.92,309.11,287.42,278.91,287.91
