,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,21,28,40,44,50,5
Reserves,-2,-1,-6,-8,-4,-14,-22
Borrowings +,132,106,96,73,62,69,117
Other Liabilities +,15,33,46,54,65,64,23
Total Liabilities,149,143,141,124,128,124,123
Fixed Assets +,105,97,90,89,80,73,69
CWIP,0,2,3,3,3,3,3
Investments,0,0,1,1,1,0,0
Other Assets +,43,44,47,31,45,48,50
Total Assets,149,143,141,124,128,124,123
