,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,45,45,45,45,45
Reserves,454,483,619,696,711
Borrowings +,336,347,320,404,408
Other Liabilities +,260,278,314,326,415
Total Liabilities,"1,095","1,153","1,299","1,471","1,579"
Fixed Assets +,658,695,820,802,896
CWIP,90,90,61,171,140
Investments,0,0,0,0,0
Other Assets +,346,368,419,498,544
Total Assets,"1,095","1,153","1,299","1,471","1,579"
