,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"9,701","10,435","11,690","12,085","9,842","9,716","11,782","13,626"
Expenses +,"7,823","8,473","9,597","9,931","8,358","8,555","10,325","11,953"
Operating Profit,"1,878","1,963","2,093","2,154","1,483","1,162","1,457","1,673"
OPM %,19%,19%,18%,18%,15%,12%,12%,12%
Other Income +,623,912,418,600,-105,-241,396,379
Interest,13,27,3,13,10,14,29,30
Depreciation,386,456,467,402,383,341,324,331
Profit before tax,"2,102","2,391","2,041","2,339",985,565,"1,500","1,692"
Tax %,27%,27%,33%,32%,34%,15%,19%,
Net Profit,"1,534","1,740","1,371","1,598",650,482,"1,218","1,294"
EPS in Rs,488.42,570.17,449.24,541.91,220.22,163.43,413.07,438.60
