,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,169,211,247,270,357,385
Expenses +,117,155,183,191,296,312
Operating Profit,52,56,63,79,61,74
OPM %,31%,27%,26%,29%,17%,19%
Other Income +,52,-2,-7,-4,2,6
Interest,11,10,9,7,4,4
Depreciation,12,12,13,15,15,15
Profit before tax,81,31,34,53,45,60
Tax %,0%,0%,0%,59%,28%,
Net Profit,81,31,34,22,33,45
EPS in Rs,15.58,6.04,6.50,3.51,5.24,7.19
