,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,102","1,324","1,135","1,858","1,832","1,689","1,622","1,700"
Expenses +,"1,052","1,249","1,071","1,688","1,672","1,570","1,482","1,601"
Operating Profit,50,74,64,170,160,119,140,99
OPM %,5%,6%,6%,9%,9%,7%,9%,6%
Other Income +,44,46,48,15,-129,25,22,29
Interest,50,58,61,70,97,103,100,101
Depreciation,17,22,25,29,36,37,36,35
Profit before tax,27,39,26,86,-102,3,26,-9
Tax %,28%,31%,48%,15%,32%,-8%,54%,
Net Profit,20,29,13,75,-65,12,21,2
EPS in Rs,0.59,0.78,0.38,2.24,-1.88,0.44,0.64,0.06
