,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,13,13,13,13,13
Reserves,826,"1,090","1,375","1,373","1,670","2,025"
Borrowings +,315,361,753,676,478,322
Other Liabilities +,436,455,"1,043","1,007","1,097","1,278"
Total Liabilities,"1,590","1,920","3,184","3,069","3,259","3,639"
Fixed Assets +,"1,035",991,"2,010","1,873","1,757","1,712"
CWIP,3,37,57,34,22,37
Investments,1,223,45,220,472,818
Other Assets +,551,669,"1,072",942,"1,008","1,072"
Total Assets,"1,590","1,920","3,184","3,069","3,259","3,639"
