,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,326,466,576,596
Expenses +,302,420,543,563
Operating Profit,24,46,32,33
OPM %,7%,10%,6%,6%
Other Income +,0,0,0,0
Interest,10,10,11,12
Depreciation,11,12,12,13
Profit before tax,3,23,9,9
Tax %,29%,6%,41%,
Net Profit,2,22,5,4
EPS in Rs,2.76,28.52,7.24,5.49
