,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,11,11
Reserves,"1,201","1,096","1,062","1,090"
Borrowings +,0,0,0,0
Other Liabilities +,13,13,17,16
Total Liabilities,"1,224","1,120","1,090","1,116"
Fixed Assets +,10,9,5,5
CWIP,0,0,0,0
Investments,"1,173","1,100",886,925
Other Assets +,41,10,199,187
Total Assets,"1,224","1,120","1,090","1,116"
