,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14.55,17.55,24.10,24.10,24.10,37.64,44.12,60.90,60.90,60.90,64.40,64.90,64.90
Reserves,69.98,97.14,65.36,38.01,95.50,57.06,85.63,113.36,115.71,117.10,124.05,121.00,117.04
Borrowings +,47.85,66.61,101.44,54.12,18.82,2.56,2.31,2.49,7.19,8.58,7.01,6.19,6.43
Other Liabilities +,24.64,52.09,41.33,74.19,32.93,25.15,23.19,31.59,38.77,54.88,32.97,30.01,35.92
Total Liabilities,157.02,233.39,232.23,190.42,171.35,122.41,155.25,208.34,222.57,241.46,228.43,222.10,224.29
Fixed Assets +,57.90,51.99,135.30,120.88,107.89,65.10,65.00,71.41,70.81,65.63,63.22,58.52,57.88
CWIP,0.21,24.45,0.01,0.03,0.03,0.68,0.67,0.51,4.80,7.05,8.92,19.96,17.99
Investments,0.05,0.05,0.00,0.00,0.00,0.00,1.03,18.19,9.75,6.03,2.05,3.62,11.74
Other Assets +,98.86,156.90,96.92,69.51,63.43,56.63,88.55,118.23,137.21,162.75,154.24,140.00,136.68
Total Assets,157.02,233.39,232.23,190.42,171.35,122.41,155.25,208.34,222.57,241.46,228.43,222.10,224.29
