,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,42,43,50,53,64,64
Reserves,436,429,474,427,944,"1,009"
Borrowings +,31,96,646,645,789,884
Other Liabilities +,326,527,214,225,368,398
Total Liabilities,834,"1,095","1,384","1,349","2,165","2,354"
Fixed Assets +,628,719,"1,161","1,084","1,390","1,574"
CWIP,16,21,21,30,33,49
Investments,0,0,16,27,153,134
Other Assets +,190,355,186,208,590,597
Total Assets,834,"1,095","1,384","1,349","2,165","2,354"
