,Mar 2010,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,222,306,311,311,509,509,498,498,498,498,510,510,510
Reserves,279,342,395,574,947,"1,927","2,259","2,228","2,475","2,523","2,819","3,318","3,301"
Borrowings +,"1,711","2,284","2,240","1,862","2,580","3,503","2,849","2,798","2,436","1,991","1,562","1,597","1,180"
Other Liabilities +,282,335,341,434,472,591,578,639,747,764,881,"1,065","1,027"
Total Liabilities,"2,494","3,266","3,287","3,181","4,507","6,529","6,184","6,163","6,156","5,776","5,772","6,489","6,017"
Fixed Assets +,"1,568","2,148","1,968","1,796","2,864","4,693","4,345","3,902","3,717","3,681","3,791","3,713","3,626"
CWIP,176,6,28,36,222,62,123,177,132,145,64,83,354
Investments,35,56,64,115,31,72,105,115,198,128,1,2,1
Other Assets +,714,"1,057","1,227","1,234","1,390","1,702","1,611","1,969","2,109","1,822","1,915","2,691","2,036"
Total Assets,"2,494","3,266","3,287","3,181","4,507","6,529","6,184","6,163","6,156","5,776","5,772","6,489","6,017"
