,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,10,10,10,10,10,10,10,10,10,10,10,10
Reserves,131,162,195,202,210,221,260,275,247,8,-120,-200
Borrowings +,16,44,70,81,105,95,99,106,137,298,325,370
Other Liabilities +,141,144,192,212,195,189,183,305,250,167,179,189
Total Liabilities,298,361,468,504,520,516,553,697,644,483,394,370
Fixed Assets +,11,23,38,41,52,50,75,73,75,64,48,45
CWIP,0,0,0,6,0,0,0,0,0,0,0,0
Investments,37,41,52,14,9,3,1,21,0,0,0,0
Other Assets +,249,296,377,444,459,463,476,603,569,419,346,324
Total Assets,298,361,468,504,520,516,553,697,644,483,394,370
